"evtype","tot_fatal","tot_injur","tot_propdmg","tot_cropdmg"
"Avalanche",225,170,3721800,0
"Beach Erosion",0,0,1e+05,0
"Blizzard",101,806,664913950,112060000
"Blowing Snow",2,14,15000,0
"Cloud",0,3,194600,0
"Coastal Flood",6,7,427566060,56000
"Coastal Storm",4,2,50000,0
"Cold",874,4531,11036484311,8652384850
"Dam Failure",0,0,1002000,0
"Drowning",1,0,0,0
"Dust Storm",24,483,6318130,3600000
"Fire",90,1608,8496728500,403281630
"Flash Flood",1064,1879,16964543936.71,1540685250
"Flood",483,6795,150189663635,10842825950
"Fog",80,1076,22829500,0
"Hail",0,10,70000,20793000
"Hail Storm",15,1361,15974470042.7,3026094623
"Heat",2960,8864,1062504300,14871450280
"Heavy Rain",102,308,3226834140,795402800
"Heavy Snow",130,1024,983879151.7,134653100
"Heavy Tide",299,534,4676669040,6450000
"High Surf",104,156,90155000,0
"High Wind",293,1467,5887806043,679301900
"Hurrycane",135,1328,84756180010,5515292800
"Hypothermia",9,0,0,0
"Land Slide",44,55,327246100,20017000
"Landslide",0,0,150000,0
"Light Snow",1,2,2598000,0
"Lightning",817,5231,933732446.7,12092090
"Rain",5,2,5350050,750000
"Snow",8,102,18347550,10000
"Thunderstorm",754,9544,12576128656.2,1274208988
"Tornado",5633,91364,56941932478.7,414961470
"Tropical Storm",66,383,7714390550,694896000
"Tsunami",33,129,144062000,20000
"Typhoon",0,5,600230000,825000
"Unseasonable Weather",40,17,0,10010000
"Volcanic Ash",0,0,5e+05,0
"Volcanic Eruption",0,0,0,0
"Water Spout",6,72,60737200,0
"Wind",143,408,191630290,71030050
